run,index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R01,S01E02R01_clip0253,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R01,S01E02R01_clip0254,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0255,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0256,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0257,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0258,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0259,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0260,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0261,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R01,S01E02R01_clip0262,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0263,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R01,S01E02R01_clip0264,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0265,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0266,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0267,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R01,S01E02R01_clip0268,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0269,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0270,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0271,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0272,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0273,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0274,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0275,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0276,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0277,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0278,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0279,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0280,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0281,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0282,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0283,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0284,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0285,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0286,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0287,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0288,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0289,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0290,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0291,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0292,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0293,5.0,1.0,,,,,,,1.0,1.0,,,,,,
